Municipio;Codigo;Orden;U. Genera;Ejecucion;Duracion Odt;latitud;longitud
TUQUERRES;1182148;25847466;Facturacion;2023-05-06 08:58;00:16 Min;1.0779655;-77.6173893
TUQUERRES;1182031;25847469;Facturacion;2023-05-08 10:27;00:19 Min;1.0778982;-77.6174336
TUQUERRES;1182061;25847477;Facturacion;2023-05-06 09:57;00:17 Min;1.0778572;-77.6174831
TUQUERRES;1182182;25847482;Facturacion;2023-05-08 11:21;00:13 Min;1.077788;-77.6175464
MALLAMA;8564902;25847503;Ges. Energetica;2023-05-05 09:01;00:28 Min;1.1904876;-77.9724787
TUQUERRES;1182114;25847534;Facturacion;2023-05-08 11:49;00:12 Min;1.0777324;-77.6177372
TUQUERRES;1182038;25847544;Facturacion;2023-05-06 09:14;00:19 Min;1.0779311;-77.6173969
TUQUERRES;1107525;25847564;Facturacion;2023-05-15 16:48;00:18 Min;1.0871526;-77.6177714
TUQUERRES;1040610;25865172;Facturacion;2023-05-08 15:24;00:46 Min;1.0972025;-77.5874385
TUQUERRES;301350;25865188;Facturacion;2023-05-13 11:42;00:13 Min;1.0871551;-77.6178183
TUQUERRES;301348;25865217;Facturacion;2023-05-13 11:22;00:19 Min;1.0871557;-77.6177645
TUQUERRES;298708;25865536;Facturacion;2023-05-10 12:27;01:49 Min;1.089595;-77.6218522
MALLAMA;8564910;25865552;Ges. Energetica;2023-05-05 08:04;00:36 Min;1.1913571;-77.9731947
TUQUERRES;1068123;25866121;Ges. Energetica;2023-05-06 08:55;02:11 Min;1.079444408416748;-77.61888885498047
TUQUERRES;1180666;25866131;Ges. Energetica;2023-05-06 07:54;01:01 Min;1.0783332586288452;-77.61805725097656
SAPUYES;8564919;25866334;Ges. Energetica;2023-05-09 09:05;00:54 Min;1.0449894;-77.7010933
TUQUERRES;8564920;25866349;Ges. Energetica;2023-05-08 10:36;01:30 Min;1.1009118;-77.647869
TUQUERRES;1040449;25866516;Facturacion;2023-05-13 08:27;00:40 Min;1.0906153;-77.6254327
TUQUERRES;299034;25866819;Facturacion;2023-05-13 08:07;00:16 Min;1.0859161;-77.6192816
IMUES;1231380;25866921;Facturacion;2023-05-12 10:21;03:07 Min;1.0501484;-77.4537365
RICAURTE;455116;25867017;Facturacion;2023-05-16 14:43;00:25 Min;1.214157;-77.9926165
TUQUERRES;1020063;25867356;Facturacion;2023-05-08 10:00;00:15 Min;1.0936695;-77.6281779
TUQUERRES;300304;25867362;Facturacion;2023-05-08 09:40;00:10 Min;1.0936978;-77.6283097
TUQUERRES;400082;25867366;Facturacion;2023-05-08 21:20;-11:-50 Min;1.0938776;-77.628413
TUQUERRES;300296;25867369;Facturacion;2023-05-08 21:06;-11:-56 Min;1.0938818;-77.6284424
TUQUERRES;300294;25867374;Facturacion;2023-05-08 21:00;-11:-40 Min;1.0939316;-77.6285369
TUQUERRES;300292;25867379;Facturacion;2023-05-08 17:06;00:31 Min;1.0940676;-77.6286066
TUQUERRES;1022822;25867383;Facturacion;2023-05-06 09:30;00:11 Min;1.0943665;-77.629181
TUQUERRES;458156;25867387;Facturacion;2023-05-06 08:56;00:13 Min;1.0945222;-77.6294697
TUQUERRES;300274;25867394;Facturacion;2023-05-06 08:29;00:10 Min;1.0945876;-77.6296841
TUQUERRES;300282;25867399;Facturacion;2023-05-06 09:10;00:13 Min;1.0945377;-77.6293844
TUQUERRES;300280;25867419;Facturacion;2023-05-08 11:29;00:33 Min;1.094498;-77.6293903
TUQUERRES;1060912;25867425;Facturacion;2023-05-06 09:41;00:09 Min;1.0944853;-77.6291765
TUQUERRES;300288;25867431;Facturacion;2023-05-06 09:52;00:10 Min;1.0944256;-77.6290766
TUQUERRES;300276;25867455;Facturacion;2023-05-06 08:42;00:14 Min;1.094604;-77.6295714
TUQUERRES;8563377;25905242;Facturacion;2023-05-08 16:24;00:19 Min;1.089287;-77.5947352
TUQUERRES;611690;25905514;Facturacion;2023-05-18 09:56;00:22 Min;1.0868813;-77.6190469
RICAURTE;1228086;25906091;Control Perdidas;2023-05-05 15:20;00:33 Min;1.2191667556762695;-78.0433349609375
TUQUERRES;8564984;25906553;Ges. Energetica;2023-05-10 09:58;01:30 Min;1.1210482;-77.6595211
TUQUERRES;8564985;25906578;Ges. Energetica;2023-05-08 14:56;01:32 Min;1.0851187;-77.6101041
OSPINA;8564986;25906611;Ges. Energetica;2023-05-08 11:34;01:37 Min;1.0198005;-77.580728
RICAURTE;1010435;25906902;Ges. Energetica;2023-05-09 10:04;01:30 Min;1.2208867;-78.0094124
TUQUERRES;1123536;25907057;Facturacion;2023-05-10 14:24;00:28 Min;1.0879247;-77.6187078
TUQUERRES;1182127;25907058;Facturacion;2023-05-10 11:37;00:16 Min;1.0779117;-77.6174064
TUQUERRES;1182177;25907059;Facturacion;2023-05-10 11:54;00:15 Min;1.0778153;-77.6174795
