Codigo;Orden;latitud;longitud
1112235;24808329;1.4924344,-77.0758644;
645833;24808340;1.4815273,-77.0799451;
1039265;24808344;1.4643257,-77.0632511;
8562863;24808347;1.6706259,-77.0120394;
199880;24808357;1.4670419,-77.0641031;
440366;24808367;1.4571891,-77.0557888;
1056834;24808416;1.446052,-77.0729205;
1130767;24808435;1.58242,-77.0237611;
1002889;24808459;1.3290522,-77.0098061;
370834;24808474;1.6045656,-76.9724982;
196042;24808502;1.4782871,-77.0190167;
196162;24808511;1.4789388,-77.0206718;
8562871;24808896;1.4070442,-77.1264411;
8562873;24808927;1.427265,-77.0965995;
8562876;24808959;1.4273529,-77.0967346;
1253379;24809084;1.6699626,-77.0101404;
192870;24831947;1.4720906,-77.0818266;
192610;24831951;1.4720913,-77.0818276;
1195493;24832034;1.6702622,-76.9744838;
1073656;24832390;1.6005944,-76.9700014;
374902;24832453;1.6026511,-76.9702018;
8562938;24833257;1.6507402,-76.9749667;
1073793;24833268;1.5704236,-76.9383789;
363730;24833342;1.669012,-76.9852844;
8562965;24835221;1.646439,-77.0211082;
8562969;24835495;1.6464428,-77.0211469;
1035007;24836107;1.3107859,-77.0386884;
1035032;24852989;1.2978961,-77.0440796;
453546;24882446;1.3988213,-77.1225351;
541911;24882531;1.668728,-76.9847288;
8562997;24882955;1.6820824,-77.0357134;
574638;24883100;1.4198752,-77.052879;
195684;24883107;1.4142171,-77.056064;
1108139;24883117;1.4087965,-77.0571685;
366220;24884261;1.6651361,-77.0397677;
8563034;24885729;1.6403606,-77.0187482;
193568;24915754;1.5156802,-77.0456201;
8563045;24916623;1.6681083,-77.0121785;
1196061;24917083;1.6713357,-77.0147389;
597858;24918017;1.6033296,-77.0803399;
1187343;24918081;1.5115845,-77.0488736;
1187344;24918087;1.5115852,-77.0487666;
1012497;24918180;1.3960338,-77.0234269;
8557234;24918229;1.4487389,-77.076991;
195098;24921559;1.4266972,-77.0956382;
1002875;24970027;1.5371601,-77.0088;
1222086;24970044;1.5789729,-76.9711768;
1197725;24970054;1.6071,-77.0065905;
194858;24970091;1.4812021,-77.0484567;
363568;24970348;1.6559815,-76.9761827;
1019235;24971811;1.6636606,-77.0268866;
1091666;24999543;1.6674558,-77.0131416;
1206007;24999765;1.5793234,-76.965145;
1064113;24999785;1.5972283,-76.9706553;
372738;24999795;1.5792893,-76.9651997;
1160896;25000102;1.4241179,-77.0732736;
369178;25000238;1.5971173,-76.9716036;
440478;25001469;1.6668851,-77.0424413;
8563168;25001834;1.503774,-77.0660943;
8563171;25001885;1.5080245,-77.0532116;
193612;25017860;1.5147298,-77.0465483;
416526;25017865;1.5146878,-77.0465566;
362002;25017887;1.6683819,-77.0113813;
1105582;25018059;1.6688938,-77.0136554;
8563196;25018126;1.6708175,-77.0302207;
8563199;25018248;1.6866798,-76.9548396;
1174688;25018661;1.5375776,-77.032705;
8555943;25018683;1.5698912,-77.0106361;
1056847;25018690;1.5669164,-77.0217948;
474728;25018707;1.571676,-77.0118509;
372350;25018714;1.5699169,-77.0105955;
1227783;25018727;1.5964485,-77.0140643;
409536;25018745;1.5969189,-77.0153301;
371270;25018814;1.5963091,-77.0206419;
1082828;25018869;1.6699298,-77.0116811;
362146;25018879;1.6699005,-77.0116131;
8563213;25018912;1.4699466,-77.022905;
1093947;25018928;1.6689503,-77.0116959;
8563214;25018998;1.5256802,-77.0426122;
8563215;25019050;1.4791066,-77.0198357;
8563217;25019122;1.5256329,-77.0426306;
374464;25020377;1.6465871,-76.9714774;
1060209;25020480;1.6650268,-77.0048409;
8563243;25020755;1.5822851,-76.9689831;
425804;25035876;1.5031064,-77.0590681;
529345;25037034;1.4247603,-77.0574351;
361540;25037089;1.6689851,-77.0115552;
361538;25037104;1.6689908,-77.0115042;
1116949;25037166;1.6202742,-76.9735963;
1109382;25037174;1.5643307,-77.028182;
1120495;25037266;1.5861104,-77.0146155;
374084;25037276;1.6227013,-76.9399742;
583978;25037289;1.4064679,-77.0171391;
1002652;25037297;1.3387858,-77.0141624;
420064;25037310;1.6089687,-77.0165857;
645009;25037331;1.470955,-77.0002899;
1170008;25037343;1.471748,-77.0165831;
1213656;25037357;1.4794007,-77.0164442;
8563298;25037889;1.6256751,-77.0690063;
597858;25038270;1.6033342,-77.0802986;
8563303;25038451;1.6001147,-76.9735913;
8538477;25041309;1.4265965,-77.0975105;
548617;25042629;1.4826621,-77.0125184;
1025796;25043436;1.4822123,-77.0130504;
196178;25053354;1.4801503,-77.0124127;
1003748;25067958;1.4772781,-77.0175778;
1053092;25068212;1.5158116,-77.0472179;
416584;25068289;1.5725151,-77.0111934;
399654;25068383;1.6245175,-77.0670573;
8563342;25068401;1.4742476,-77.0804909;
1051757;25068458;1.5938029,-77.0214012;
8563344;25068463;1.403921,-77.1252335;
8522461;25068478;1.5931692,-77.0159491;
1029012;25068509;1.5905478,-77.0256095;
8563346;25068511;1.4799203,-77.0173455;
371548;25068526;1.5964012,-77.0147305;
